Data,Horário,Em casa,Resultado,Visitante,Público,Local
2024-07-28,11:00,Red Bull Bragantino,0–1,Fluminense,7.304,Estádio Nabi Abi Chedid
2024-07-28,16:00,Flamengo,2–0,Atl Goianiense,61.883,Estadio Jornalista Mário Filho
2024-07-28,18:00 (19:00),Cuiabá,1–2,Ath Paranaense,4.452,Arena Pantanal
2024-07-28,19:00,Atlético Mineiro,2–1,Corinthians,,Arena MRV
2024-07-28,19:00,Grêmio,1–0,Vasco da Gama,,Arena Condá
2024-07-27,21:30,Botafogo (RJ),0–3,Cruzeiro,,Estádio Nilton Santos
2024-07-27,21:30,Fortaleza,1–0,São Paulo,41.322,Estádio Castelão
2024-08-03,16:00,Vitória,1–0,Cuiabá,,Estádio Manoel Barradas
2024-08-03,19:00,Vasco da Gama,2–2,Red Bull Bragantino,,Estádio Club de Regatas Vasco da Gama
2024-08-03,20:00,Atl Goianiense,1–4,Botafogo (RJ),,Estádio Antônio Accioly
2024-08-03,20:00,Criciúma,2–1,Atlético Mineiro,15.642,Estádio Heriberto Hülse
2024-08-04,16:00,Fluminense,1–0,Bahia,,Estadio Jornalista Mário Filho
2024-08-04,16:00,Corinthians,1–1,Juventude,,Neo Química Arena
2024-08-04,16:00,Ath Paranaense,0–2,Grêmio,,Ligga Arena
2024-08-04,17:00,Internacional,1–1,Palmeiras,,Estádio José Pinheiro Borba
2024-08-03,21:30,São Paulo,1–0,Flamengo,,Estádio do Morumbi
2024-08-05,21:00,Cruzeiro,1–2,Fortaleza,,Estádio Kleber José de Andrade
2024-08-10,16:00,Fortaleza,1–0,Criciúma,,Estádio Castelão
2024-08-10,18:00 (19:00),Cuiabá,1–3,Grêmio,,Arena Pantanal
2024-08-11,11:00,Juventude,3–2,Botafogo (RJ),,Estádio Alfredo Jaconi
2024-08-11,16:00,São Paulo,1–0,Atl Goianiense,46.600,Estádio do Morumbi
2024-08-11,16:00,Flamengo,1–1,Palmeiras,,Estadio Jornalista Mário Filho
2024-08-11,16:00,Bahia,2–0,Vitória,,Itaipava Arena Fonte Nova
2024-08-11,19:00,Internacional,2–2,Ath Paranaense,,Estádio José Pinheiro Borba
2024-08-10,21:30,Cruzeiro,0–0,Atlético Mineiro,,Estádio Governador Magalhães Pinto
2024-08-10,21:30,Corinthians,1–1,Red Bull Bragantino,,Neo Química Arena
2024-08-10,21:30,Vasco da Gama,2–0,Fluminense,,Estádio Nilton Santos
2024-08-14,19:30,Internacional,2–1,Juventude,,Estádio José Pinheiro Borba
2024-08-17,16:00,Atlético Mineiro,1–1,Cuiabá,,Arena MRV
2024-08-17,16:00,Grêmio,0–2,Bahia,,Estádio Alfredo Jaconi
2024-08-17,18:30,Red Bull Bragantino,1–2,Fortaleza,,Estádio Nabi Abi Chedid
2024-08-18,16:00,Criciúma,2–2,Vasco da Gama,,Estádio Heriberto Hülse
2024-08-18,16:00,Palmeiras,2–1,São Paulo,,Allianz Parque
2024-08-18,16:00,Atl Goianiense,1–0,Internacional,,Estádio Antônio Accioly
2024-08-18,18:30,Ath Paranaense,1–2,Juventude,,Ligga Arena
2024-08-18,18:30,Botafogo (RJ),4–1,Flamengo,,Estádio Nilton Santos
2024-08-17,21:00,Fluminense,0–0,Corinthians,,Estadio Jornalista Mário Filho
2024-08-19,20:00,Vitória,2–2,Cruzeiro,,Estádio Manoel Barradas
2024-08-24,16:00,Atl Goianiense,2–1,Juventude,,Estádio Antônio Accioly
2024-08-24,18:30,Palmeiras,5–0,Cuiabá,,Estádio Brinco de Ouro da Princesa
2024-08-25,16:00,Criciúma,0–1,Grêmio,,Estádio Heriberto Hülse
2024-08-25,16:00,Bahia,0–0,Botafogo (RJ),,Itaipava Arena Fonte Nova
2024-08-25,16:00,Fortaleza,1–0,Corinthians,,Estádio Castelão
2024-08-25,18:30,São Paulo,2–1,Vitória,,Estádio do Morumbi
2024-08-25,19:00,Internacional,1–0,Cruzeiro,,Estádio José Pinheiro Borba
2024-08-25,20:00,Flamengo,2–1,Red Bull Bragantino,,Estadio Jornalista Mário Filho
2024-08-24,21:00,Atlético Mineiro,0–2,Fluminense,,Estádio Governador Magalhães Pinto
2024-08-26,21:00,Vasco da Gama,2–1,Ath Paranaense,16.433,Estádio Club de Regatas Vasco da Gama
2024-08-28,19:30,Cruzeiro,0–0,Internacional,35.238,Estádio Governador Magalhães Pinto
2024-08-28,19:30,Criciúma,1–0,Red Bull Bragantino,,Estádio Heriberto Hülse
2024-08-31,17:30 (18:30),Cuiabá,2–1,Criciúma,,Arena Pantanal
2024-09-01,11:00,Cruzeiro,3–1,Atl Goianiense,,Estádio Governador Magalhães Pinto
2024-09-01,11:00,Grêmio,2–3,Atlético Mineiro,,Arena do Grêmio
2024-09-01,16:00,Corinthians,2–1,Flamengo,,Neo Química Arena
2024-09-01,18:30,Juventude,1–3,Internacional,,Estádio Alfredo Jaconi
2024-09-01,18:30,Ath Paranaense,0–2,Palmeiras,,Ligga Arena
2024-09-01,18:30,Fluminense,2–0,São Paulo,,Estadio Jornalista Mário Filho
2024-09-01,18:30,Vitória,0–1,Vasco da Gama,,Estádio Manoel Barradas
2024-09-01,18:30,Red Bull Bragantino,2–1,Bahia,,Estádio Nabi Abi Chedid
2024-08-31,21:00,Botafogo (RJ),2–0,Fortaleza,,Estádio Nilton Santos
2024-09-05,19:00 (20:00),Cuiabá,0–0,Juventude,,Arena Pantanal
2024-09-11,19:30,Internacional,2–1,Fortaleza,,Estádio José Pinheiro Borba
2024-09-14,16:00,Atl Goianiense,0–2,Vitória,,Estádio Antônio Accioly
2024-09-14,18:30,Ath Paranaense,1–1,Fortaleza,,Ligga Arena
2024-09-15,16:00,Red Bull Bragantino,2–2,Grêmio,,Estádio Nabi Abi Chedid
2024-09-15,16:00,Juventude,2–1,Fluminense,,Estádio Alfredo Jaconi
2024-09-15,16:00,Palmeiras,5–0,Criciúma,,Allianz Parque
2024-09-15,18:30,Flamengo,1–1,Vasco da Gama,,Estadio Jornalista Mário Filho
2024-09-15,18:30,Cruzeiro,0–1,São Paulo,,Estádio Governador Magalhães Pinto
2024-09-15,18:30,Bahia,3–0,Atlético Mineiro,,Itaipava Arena Fonte Nova
2024-09-14,21:00,Botafogo (RJ),2–1,Corinthians,,Estádio Nilton Santos
2024-09-16,20:00,Internacional,3–0,Cuiabá,,Estádio José Pinheiro Borba
2024-09-21,16:00,Vitória,1–0,Juventude,,Estádio Manoel Barradas
2024-09-21,16:00,Corinthians,3–0,Atl Goianiense,46.001,Neo Química Arena
2024-09-21,18:30,Fluminense,0–1,Botafogo (RJ),,Estadio Jornalista Mário Filho
2024-09-22,16:00,Vasco da Gama,0–1,Palmeiras,,Estádio Nacional de Brasília
